GetLinkById,2020-06-03 18:46:57.649,Thread-3,
GetLinkById,2020-06-03 18:46:57.649,Thread-3,
GetLinkById,2020-06-03 18:46:57.649,Thread-3,
GetLinkById,2020-06-03 18:46:57.65,Thread-3,
GetLinkById,2020-06-03 18:46:57.65,Thread-3,
GetLinkById,2020-06-03 18:46:57.65,Thread-3,
GetLinkById,2020-06-03 18:46:57.65,Thread-3,
GetLinkById,2020-06-03 18:46:57.65,Thread-3,
GetLinkById,2020-06-03 18:46:57.651,Thread-3,
GetTowns,2020-06-03 18:46:57.913,main,
run,2020-06-03 18:47:22.761,Thread-4,
GetInstance,2020-06-03 18:47:24.151,AWT-EventQueue-0,
GetLinks,2020-06-03 18:47:24.152,AWT-EventQueue-0,
GetInstance,2020-06-03 18:47:29.652,AWT-EventQueue-0,
GetLinks,2020-06-03 18:47:29.652,AWT-EventQueue-0,
GetInstance,2020-06-03 18:47:31.226,AWT-EventQueue-0,
GetLinks,2020-06-03 18:47:31.227,AWT-EventQueue-0,
